2011 super output area - lower layer,mnemonic,Date,Gender,All Ages,Age 0,Age 1,Age 2,Age 3,Age 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Age 85,Age 86,Age 87,Age 88,Age 89,Aged 90+
Stevenage 005A,E01023795,2018,Male,791,22,13,10,10,14,51,31,36,53,54,50,71,44,47,61,42,44,39,46,20,22,3,3,2,2,1,0
Stevenage 005B,E01023796,2018,Male,724,8,5,6,12,10,38,33,35,58,63,51,57,44,39,42,46,54,39,38,25,15,4,0,0,0,1,1
Stevenage 005C,E01023797,2018,Male,665,11,15,14,13,14,47,51,27,27,60,45,49,35,35,52,38,39,41,21,13,7,2,3,4,0,1,1
Stevenage 005D,E01023798,2018,Male,765,13,14,4,15,11,42,42,34,43,57,75,55,60,49,64,52,31,37,20,20,7,0,3,2,2,4,9
Stevenage 006A,E01023775,2018,Male,1108,13,20,11,12,13,56,46,39,89,135,91,91,63,70,71,52,56,35,50,31,29,3,1,8,5,4,14
Stevenage 006B,E01023779,2018,Male,903,10,10,10,14,13,68,69,63,31,76,97,98,57,53,49,46,36,32,28,25,14,0,0,0,0,2,2
Stevenage 006C,E01023780,2018,Male,734,11,4,6,5,7,36,37,26,43,65,62,50,49,56,47,52,41,36,25,53,13,1,1,2,2,2,2
Stevenage 006D,E01023781,2018,Male,990,15,19,15,16,13,76,59,60,54,81,60,97,53,58,61,60,50,31,35,27,29,3,1,2,1,2,12
Stevenage 006E,E01023782,2018,Male,705,6,7,10,13,10,40,41,43,37,38,35,34,43,53,64,46,44,38,34,37,19,1,2,4,1,1,4
Stevenage 007A,E01023759,2018,Male,703,10,8,19,4,16,57,51,41,37,44,38,40,44,60,65,50,35,29,16,14,22,0,0,1,0,1,1
Stevenage 007B,E01023760,2018,Male,767,4,10,6,10,9,65,57,42,56,36,63,50,34,39,48,51,56,36,34,25,21,1,4,4,1,3,2
Stevenage 007C,E01023761,2018,Male,1141,13,20,15,13,14,116,79,75,74,90,93,92,67,75,73,79,37,39,28,28,11,1,3,1,1,0,4
Stevenage 007D,E01023762,2018,Male,778,18,11,8,12,17,59,59,46,43,53,43,65,31,52,58,52,29,36,24,28,25,6,1,1,0,0,1
Stevenage 008A,E01023755,2018,Male,768,13,14,13,9,13,47,48,52,63,41,51,52,51,42,63,54,38,26,19,25,15,1,3,4,6,0,5
